room_type,reviews,overall_satisfaction,accommodates,bedrooms,price
Entire home/apt,0,0,10,5,1000
Entire home/apt,0,0,6,2,999
Entire home/apt,0,0,6,2,750
Entire home/apt,0,0,4,2,1000
Entire home/apt,0,0,5,2,800
Entire home/apt,4,5,7,3,895
Entire home/apt,0,0,5,2,725
Entire home/apt,0,0,4,2,800
Entire home/apt,0,0,3,1,750
Entire home/apt,1,0,6,3,900
Entire home/apt,0,0,6,3,1000
Entire home/apt,0,0,8,3,1000
Entire home/apt,0,0,5,2,725
Entire home/apt,0,0,2,1,910
Entire home/apt,0,0,6,2,900
Entire home/apt,0,0,5,2,750
Entire home/apt,1,0,4,2,900
Entire home/apt,0,0,5,2,750
Entire home/apt,1,0,7,3,800
Entire home/apt,71,5,14,5,767
Entire home/apt,0,0,5,1,1000
Entire home/apt,3,5,8,4,791
Entire home/apt,1,0,5,2,750
Entire home/apt,1,0,4,2,725
Entire home/apt,7,5,6,2,849
Entire home/apt,0,0,4,1,700
Entire home/apt,0,0,8,3,550
Entire home/apt,30,5,6,3,650
Entire home/apt,0,0,2,1,600
Entire home/apt,41,5,10,4,529
Entire home/apt,50,4.5,7,3,535
Entire home/apt,0,0,6,2,580
Entire home/apt,2,0,6,3,600
Entire home/apt,0,0,4,2,545
Entire home/apt,0,0,8,3,550
Entire home/apt,0,0,2,1,600
Entire home/apt,46,4.5,16,8,631
Entire home/apt,0,0,8,4,549
Entire home/apt,1,0,16,8,695
Entire home/apt,0,0,2,1,600
Entire home/apt,0,0,9,5,650
Entire home/apt,0,0,4,1,700
Entire home/apt,10,5,10,4,699
Entire home/apt,0,0,5,2,600
Entire home/apt,0,0,4,1,650
Entire home/apt,0,0,5,2,700
Entire home/apt,0,0,4,1,600
Entire home/apt,0,0,6,1,679
Entire home/apt,24,5,6,3,575
Entire home/apt,0,0,4,2,650
Entire home/apt,0,0,5,2,550
Entire home/apt,0,0,5,2,700
Entire home/apt,0,0,4,1,550
Entire home/apt,0,0,3,1,550
Entire home/apt,0,0,6,2,527
Entire home/apt,12,5,8,4,690
Entire home/apt,0,0,3,1,629
Entire home/apt,0,0,2,0,550
Entire home/apt,2,0,6,3,600
Entire home/apt,0,0,5,2,550
Entire home/apt,11,5,10,4,600
Entire home/apt,0,0,6,3,550
Entire home/apt,0,0,6,3,650
Entire home/apt,0,0,4,2,660
Entire home/apt,0,0,6,2,699
Entire home/apt,0,0,6,3,525
Entire home/apt,0,0,4,2,550
Entire home/apt,0,0,6,2,700
Entire home/apt,0,0,6,2,600
Entire home/apt,0,0,6,2,600
Entire home/apt,0,0,4,1,600
Entire home/apt,0,0,2,1,700
Entire home/apt,1,0,4,3,599
Entire home/apt,0,0,6,2,525
Entire home/apt,2,0,8,4,700
Entire home/apt,4,4,9,5,510
