"","ds","location","data_type","value"
"449",2020-04-19,"US","deaths_new",1931
"450",2020-04-19,"US","cases_new",26278
"451",2020-04-18,"US","recovered_new",6295
"452",2020-04-18,"US","cases_new",28270
"453",2020-04-18,"US","deaths_new",1960
"454",2020-04-17,"US","recovered_new",3842
"455",2020-04-17,"US","cases_new",32724
"456",2020-04-17,"US","deaths_new",2093
"457",2020-04-16,"US","recovered_new",2607
"458",2020-04-16,"US","cases_new",31298
"459",2020-04-16,"US","deaths_new",2176
"460",2020-04-15,"US","recovered_new",4333
"461",2020-04-15,"US","cases_new",29096
"462",2020-04-15,"US","deaths_new",2609
"463",2020-04-14,"US","recovered_new",4281
"464",2020-04-14,"US","cases_new",27065
"465",2020-04-14,"US","deaths_new",2455
"466",2020-04-13,"US","recovered_new",10494
"467",2020-04-13,"US","cases_new",25291
"468",2020-04-13,"US","deaths_new",1946
"469",2020-04-12,"US","recovered_new",1718
"470",2020-04-12,"US","cases_new",28553
"471",2020-04-12,"US","deaths_new",1813
"472",2020-04-11,"US","recovered_new",2480
"473",2020-04-11,"US","cases_new",30026
"474",2020-04-11,"US","deaths_new",2119
"475",2020-04-10,"US","recovered_new",3380
"476",2020-04-10,"US","cases_new",33501
"477",2020-04-10,"US","deaths_new",2218
"478",2020-04-09,"US","recovered_new",1851
"479",2020-04-09,"US","cases_new",34756
"480",2020-04-09,"US","deaths_new",2228
"481",2020-04-08,"US","recovered_new",1796
"482",2020-04-08,"US","cases_new",31694
"483",2020-04-08,"US","deaths_new",2146
"484",2020-04-07,"US","recovered_new",2182
"485",2020-04-07,"US","cases_new",30777
"486",2020-04-07,"US","deaths_new",2571
"487",2020-04-06,"US","recovered_new",2133
"488",2020-04-06,"US","cases_new",29642
"489",2020-04-06,"US","deaths_new",1770
"490",2020-04-05,"US","recovered_new",2796
"491",2020-04-05,"US","cases_new",27874
"492",2020-04-05,"US","deaths_new",1590
"493",2020-04-04,"US","recovered_new",4945
"494",2020-04-04,"US","cases_new",33152
"495",2020-04-04,"US","deaths_new",1523
"496",2020-04-03,"US","recovered_new",706
"497",2020-04-03,"US","cases_new",31937
"498",2020-04-03,"US","deaths_new",1392
"499",2020-04-02,"US","cases_new",30405
"500",2020-04-02,"US","recovered_new",527
"501",2020-04-02,"US","deaths_new",1503
"502",2020-04-01,"US","cases_new",25461
"503",2020-04-01,"US","recovered_new",1450
"504",2020-04-01,"US","deaths_new",1172
"505",2020-03-31,"US","cases_new",26037
"506",2020-03-31,"US","recovered_new",1380
"507",2020-03-31,"US","deaths_new",1085
"508",2020-03-30,"US","recovered_new",2979
"509",2020-03-30,"US","cases_new",21502
"510",2020-03-30,"US","deaths_new",692
"511",2020-03-29,"US","cases_new",19146
"512",2020-03-29,"US","recovered_new",1593
"513",2020-03-29,"US","deaths_new",586
"514",2020-03-28,"US","cases_new",19958
"515",2020-03-28,"US","recovered_new",203
"516",2020-03-28,"US","deaths_new",633
"517",2020-03-27,"US","cases_new",18490
"518",2020-03-27,"US","recovered_new",188
"519",2020-03-27,"US","deaths_new",520
"520",2020-03-26,"US","cases_new",17556
"521",2020-03-26,"US","recovered_new",320
"522",2020-03-26,"US","deaths_new",408
"523",2020-03-25,"US","recovered_new",13
"524",2020-03-25,"US","cases_new",11943
"525",2020-03-25,"US","deaths_new",324
"526",2020-03-24,"US","recovered_new",170
"527",2020-03-24,"US","cases_new",10262
